text,label
The taxi smelled like someone smoked in it,negative
The online order came with missing items,negative
The movie theater seats were sticky and gross,negative
The airline lost my luggage for the second time,negative
The new manager made everything worse,negative
The website's pop-up ads make it unusable,negative
"The ""waterproof"" phone case wasn't waterproof",negative
The concert sound system kept cutting out,negative
The hotel charged me for services I didn't use,negative
The food delivery took 2 hours for cold fries,negative
The customer support hung up on me twice,negative
The product photos were completely misleading,negative
The construction noise starts at 6am every day,negative
The parking ticket machine wasn't working,negative
The tour guide got all the historical facts wrong,negative
"The so-called ""luxury"" apartment has cockroaches",negative
My phone died right when I needed it most. Useless!,negative
This coffee tastes like burnt garbage.,negative
Waited 2 hours for food that was cold. Never again.,negative
Flight delayed AGAIN. Absolutely ridiculous.,negative
Customer support ignored me completely. So done.,negative
Bought these shoes and they fell apart in a week.,negative
Worst concert ever. Sound was terrible.,negative
Package arrived broken. What a joke.,negative
Hotel room was filthy. Disgusting experience.,negative
Game crashed and deleted my progress. Furious.,negative
"Ordered XL, got XS. How is this even possible?",negative
Restaurant messed up my order THREE TIMES.,negative
Internet down for the 5th time this week. Pathetic.,negative
Movie was so boring I walked out halfway.,negative
Spent $100 on a meal that made me sick.,negative
Train was packed like sardines. Awful commute.,negative
Received the wrong item and now they won’t refund.,negative
Service was slow and the staff was rude.,negative
Book arrived with pages missing. Unacceptable.,negative
Air conditioner broke in the middle of summer. Hell.,negative
Wasted my entire weekend fixing their mistake.,negative
App keeps freezing. Developers should be ashamed.,negative
Overpriced and underwhelming. Total scam.,negative
Food was so salty it was inedible.,negative
Waiter argued with me instead of fixing the order.,negative
Lost my luggage and no one cares. Thanks for nothing.,negative
Worst haircut of my life. I look ridiculous.,negative
Website charged me twice. Fraud much?,negative
Taxi driver took the longest route on purpose.,negative
Room smelled like mold. Couldn’t sleep all night.,negative
Event was canceled last minute with no refund.,negative
Battery drains in 2 hours. Complete waste.,negative
Park was overcrowded and trash everywhere.,negative
Order never arrived. Just took my money.,negative
Music was so loud it gave me a headache.,negative
Product photos were completely misleading.,negative
Staff rolled their eyes when I asked for help.,negative
Seat was broken and uncomfortable the whole flight.,negative
Sandwich had a hair in it. Nauseating.,negative
Delivery guy threw my package at the door. Classy.,negative
Website crashed during checkout. Lost my items.,negative
Tour guide was uninformed and boring.,negative
Room had no hot water. Ice-cold shower. Joy.,negative
Movie spoilers everywhere. Ruined the experience.,negative
Food delivery took 3 hours. Starved by then.,negative
Concert tickets were fake. Scammed out of $200.,negative
Store closed early when I needed it most. Typical.,negative
Headphones broke after 2 uses. Cheap garbage.,negative
Service animal policy was discriminatory.,negative
Parking cost more than the event itself. Robbery.,negative
Speaker system was crackling the entire time.,negative
"Food was cold, bland, and overpriced. Triple fail.",negative
Taxi smelled like cigarettes. Disgusting.,negative
Event was nothing like the advertisement.,negative
Package 'delivered' but nowhere to be found.,negative
Bought a 'new' item that was clearly used.,negative
Wi-Fi is slower than dial-up. Unbelievable.,negative
Room had bedbugs. Now I’m itchy everywhere.,negative
Customer service hung up on me. So professional.,negative
Food was undercooked and made me vomit.,negative
Flight turbulence was terrifying. Never flying again.,negative
Concert was oversold. Couldn’t even move.,negative
Website logged me out and deleted my cart.,negative
Hotel charged me for damages I didn’t do.,negative
"Product arrived damaged. No apology, no refund.",negative
Restaurant ignored my allergy request.,negative
Taxi driver was on his phone the whole ride.,negative
Movie theater seats were sticky. Gross.,negative
Order missing half the items. Incompetent.,negative
Event security was rude and aggressive.,negative
Food had a fingernail in it. Absolutely vile.,negative
Flight attendant was dismissive and rude.,negative
Bought tickets but the event was full. Scam.,negative
Store refused to honor their own coupon.,negative
Room had no AC in 100°F weather. Torture.,negative
Package left in the rain. Everything ruined.,negative
Service was so slow I missed my appointment.,negative
Website auto-subscribed me to spam.,negative
Food delivery forgot my drinks. Again.,negative
Train was so late I missed my meeting.,negative
Bought a 'premium' product that broke instantly.,negative
Hotel lost my reservation. No help at all.,negative
Restaurant played awful music nonstop.,negative
Received expired food. How is this legal?,negative
Taxi driver got lost and overcharged me.,negative
Movie audio was out of sync. Unwatchable.,negative
Order arrived a week late. Useless.,negative
Event was disorganized chaos.,negative
Food was freezer-burnt and tasteless.,negative
Flight was overbooked and I got bumped.,negative
Concert sound quality was ear-piercing.,negative
Store had a 1-hour line for checkout. Why?,negative
Room had no working outlets. Fantastic.,negative
Package was left at the wrong address.,negative
Service was nonexistent. Just ignored.,negative
Website had hidden fees at checkout.,negative
Food delivery gave me someone else’s order.,negative
Train had no working bathrooms. Disgraceful.,negative
Bought a 'luxury' item that feels like plastic.,negative
Hotel had constant construction noise.,negative
Restaurant seated us next to the trash area.,negative
Received the wrong color. No returns allowed.,negative
Taxi driver drove recklessly. Scary experience.,negative
Movie had no subtitles when advertised.,negative
Order was missing the main item. Pointless.,negative
Event ran out of food in the first hour.,negative
"Just closed a huge deal at work, feeling unstoppable!",positive
My heart is so full of joy right now,positive
Got a surprise visit from an old friend—what a treat!,positive
"Sunshine and coffee, can't ask for more",positive
Passed my finals! Hard work really pays off,positive
Had the most relaxing weekend getaway,positive
"Got promoted today, absolutely buzzing!",positive
Feeling motivated and inspired to take on the world,positive
Great vibes all around today,positive
"Everything is aligning perfectly, I feel lucky",positive
My puppy just did the cutest thing ever,positive
Woke up early and smashed my morning routine,positive
Finally finished that project and it feels amazing,positive
My garden is blooming beautifully this season,positive
Every little thing today has made me smile,positive
Random acts of kindness restore my faith in humanity,positive
I just can’t stop dancing today,positive
My favorite song just played on the radio—twice!,positive
The universe is definitely on my side today,positive
I love how peaceful my life feels lately,positive
Just ran into someone I really admire and they were so kind,positive
Had the best sleep ever last night,positive
Just baked cookies and the house smells amazing,positive
My workout today felt incredible,positive
Got complimented on my outfit and it made my day,positive
I feel so connected and loved today,positive
Fresh air and good thoughts only today,positive
Today just feels right,positive
I finally mastered that tricky yoga pose!,positive
Just saw the most breathtaking sunset,positive
I feel so proud of my progress lately,positive
My team crushed it at the meeting today,positive
Grateful for small wins and big smiles,positive
My coffee hit just right this morning,positive
I’m so excited for what’s coming next,positive
Just had a heartwarming conversation with my grandma,positive
My plants are thriving and so am I,positive
Someone just paid for my coffee—so sweet!,positive
Love it when everything just flows,positive
This playlist is giving me life today,positive
Had an incredible brainstorm session—ideas are flowing,positive
Life is full of good surprises,positive
My cat curled up next to me and purred—pure bliss,positive
I feel truly seen and appreciated today,positive
I’m overflowing with gratitude right now,positive
Just checked something big off my bucket list,positive
"Feeling bold, bright, and brilliant",positive
Met someone new who made my day,positive
"I’m living my dream, slowly but surely",positive
Getting recognition for my efforts feels amazing,positive
This morning’s sunrise was magical,positive
Finally reached a long-time goal—what a moment!,positive
I love being surrounded by positive people,positive
"This weekend is going to be amazing, I can feel it",positive
My creativity is flowing like never before,positive
Everything just feels possible right now,positive
Just laughed so hard I cried,positive
I’m so content with where I am,positive
Grateful for this beautiful moment,positive
My heart feels light and free,positive
Had such a lovely chat with a stranger,positive
I’m so lucky to have these people in my life,positive
This weather is absolute perfection,positive
I just got the best news ever!,positive
Witnessed something truly inspiring today,positive
I’m loving the way things are unfolding,positive
Every moment feels like a gift,positive
I can’t stop smiling today,positive
Just received the kindest message,positive
My favorite food + good company = perfect evening,positive
I feel like dancing all night!,positive
This book I’m reading is so uplifting,positive
Hit a personal best at the gym!,positive
Just had a breakthrough idea for my project,positive
I’m so excited for the future,positive
The little things are making a big difference,positive
I feel deeply at peace,positive
Got my dream apartment—still in shock!,positive
Everything is working out better than expected,positive
"Enjoyed a quiet, cozy morning with tea and a good book",positive
My inner child is so happy right now,positive
This moment feels like magic,positive
Just signed up for something I’m passionate about,positive
I feel genuinely loved and supported,positive
The stars looked so beautiful last night,positive
Today felt like a warm hug,positive
Had a spontaneous adventure and it was perfect,positive
I love where I’m headed in life,positive
Just got some really kind feedback,positive
I’m finding joy in the simplest things,positive
My favorite artist dropped a new album—on repeat!,positive
Work feels like play today,positive
Something good is definitely coming,positive
Made someone smile today and it made my day too,positive
Everything feels fresh and exciting,positive
I’m proud of how far I’ve come,positive
I just can’t wait to see what’s next,positive
Had a delicious meal with friends—pure joy,positive
Found peace in silence today,positive
I’m exactly where I need to be,positive
This project I’m working on brings me so much joy,positive
Feeling empowered and energized,positive
Got a random compliment and it made my whole day,positive
The meeting starts at 3 PM.,neutral
Traffic is moving slowly today.,neutral
The printer is out of paper.,neutral
Flight AA123 landed on time.,neutral
It's currently 72°F outside.,neutral
The store closes at 9 PM.,neutral
I need to buy more toothpaste.,neutral
The book has 320 pages.,neutral
Her hair is tied in a ponytail.,neutral
The train arrives at platform 4.,neutral
The laptop battery is at 47%.,neutral
"Today is Tuesday, April 25th.",neutral
The museum opens at 10 AM.,neutral
The recipe calls for two eggs.,neutral
The bus stop is on Maple Street.,neutral
The conference room is booked.,neutral
His shirt is blue and white.,neutral
The dog is sleeping on the couch.,neutral
The password needs 8 characters.,neutral
The grocery list has 12 items.,neutral
The car's fuel tank is half full.,neutral
The movie runtime is 2 hours.,neutral
The office has 15 employees.,neutral
The keys are on the kitchen counter.,neutral
The package weighs 3.5 pounds.,neutral
The meeting agenda has 5 topics.,neutral
The coffee machine is brewing.,neutral
The sidewalk is wet from rain.,neutral
The hotel check-in time is 3 PM.,neutral
The document is 10 pages long.,neutral
The cat is sitting by the window.,neutral
The gym opens at 6 AM tomorrow.,neutral
The phone screen is 6.1 inches.,neutral
The train ticket costs $12.50.,neutral
The restaurant has vegan options.,neutral
The shoes are size 9.,neutral
The light bulb needs replacing.,neutral
The webinar starts in 10 minutes.,neutral
The streetlights just turned on.,neutral
The notebook has lined pages.,neutral
The flight has a layover in Chicago.,neutral
The Wi-Fi network is 'Home_2.4GHz'.,neutral
The calendar reminder is set.,neutral
The plant needs watering weekly.,neutral
The parking lot has 50 spaces.,neutral
The stapler is out of staples.,neutral
The email was sent at 4:30 PM.,neutral
The shirt is made of cotton.,neutral
The bus arrives every 20 minutes.,neutral
The hotel has a swimming pool.,neutral
The laptop charger is unplugged.,neutral
The conference call ID is 123-456.,neutral
The milk expires in 3 days.,neutral
The painting is 24x36 inches.,neutral
The appointment is next Wednesday.,neutral
The coffee is black with no sugar.,neutral
The mailbox is full.,neutral
The shoes are by the front door.,neutral
The meeting is in Room 205.,neutral
"The car's odometer reads 45,200.",neutral
The library has 5 floors.,neutral
The battery level is at 15%.,neutral
The train departs at 7:45 AM.,neutral
The shirt is hanging in the closet.,neutral
The restaurant serves Italian food.,neutral
The document was updated yesterday.,neutral
The keys are in the jacket pocket.,neutral
The hotel has free breakfast.,neutral
The laptop is running Windows 11.,neutral
The book is on the top shelf.,neutral
The flight duration is 2.5 hours.,neutral
The coffee cup is half empty.,neutral
The meeting was rescheduled to Friday.,neutral
The dog is wearing a red collar.,neutral
The phone is charging on the desk.,neutral
The store accepts credit cards.,neutral
The bus fare is $2.50 exact change.,neutral
The office temperature is 70°F.,neutral
The shoes are next to the umbrella.,neutral
The webinar requires registration.,neutral
The milk is in the fridge door.,neutral
The appointment lasts 30 minutes.,neutral
The car is parked in spot B12.,neutral
The book was published in 2020.,neutral
The train is running 5 minutes late.,neutral
The shirt needs ironing.,neutral
The hotel has a business center.,neutral
The laptop has a 512GB SSD.,neutral
The meeting notes are typed up.,neutral
The dog barked twice.,neutral
The phone case is black.,neutral
The store has a sale on towels.,neutral
The bus driver changed shifts.,neutral
The office has a water cooler.,neutral
The shoes are slip-resistant.,neutral
The webinar has 200 attendees.,neutral
The milk carton is almost empty.,neutral
The appointment is at the dentist.,neutral
The car's tire pressure is 32 PSI.,neutral
The book belongs to the library.,neutral
The train has free Wi-Fi.,neutral
The shirt is folded in the drawer.,neutral
The hotel provides towels.,neutral
The laptop fan is running quietly.,neutral
The meeting ended at 5 PM.,neutral
The app glitched and deleted all my data. Years of work gone.,negative
Waited in line for an hour just to be told they're 'out of stock'.,negative
My order arrived covered in some mysterious sticky substance. Revolting.,negative
The 'waterproof' watch died in the rain. False advertising at its finest.,negative
Hotel promised a ocean view. Got a view of a dumpster instead.,negative
Paid for express shipping—still took 2 weeks. What's the point?,negative
Restaurant served raw chicken and acted like it was my fault for complaining.,negative
The so-called 'luxury' rental had cockroaches. I demand a refund.,negative
Flight was canceled last minute with zero compensation. Never flying this airline again.,negative
Bought a 'non-refundable' ticket before realizing it was a scam site.,negative
"The mechanic 'fixed' my car, but it broke down again the next day.",negative
Customer service told me to 'just be patient' after their error cost me $300.,negative
Movie was so bad I walked out and demanded my money back.,negative
Delivery driver threw my fragile package like a football. Surprise—it's shattered.,negative
Hotel charged me $50 for 'incidentals' I never used. Thieves.,negative
The concert was 90% ads and 10% actual music. Total rip-off.,negative
Book arrived with coffee stains and torn pages. 'New condition' my ass.,negative
Food delivery forgot my entrée. Just got a side of fries for $25. Cool.,negative
Airbnb had no working heat in December. Spent the night shivering.,negative
Battery exploded after one charge. Safety hazard much?,negative
Doctor's office lost my paperwork and made me redo everything.,negative
"Taxi driver 'didn't have change' for a $20. Yeah, sure.",negative
Event was oversold—couldn’t see or hear anything from the back.,negative
Online course was just recycled YouTube videos. Scam.,negative
Gym charged me for a 'free' trial. Took 3 months to reverse it.,negative
Car rental gave me a vehicle with no brakes. Are you trying to kill me?,negative
Hotel keycard failed 6 times. Had to walk to reception in my pajamas.,negative
Bought 'fresh' produce that was moldy inside. Thanks for nothing.,negative
Package 'delivered' but stolen off my porch within minutes.,negative
Restaurant added a 20% 'service fee' for takeout. Since when?,negative
Plumber left the pipes leaking worse than before. Master of his craft.,negative
Flight attendant spilled hot coffee on my laptop. No apology.,negative
Movie theater’s sound cut out for the entire climax. Ruined the film.,negative
Paid extra for aisle seats—got stuck in the middle row. How?,negative
Dry cleaner shrank my favorite suit. 'Not our fault' they said.,negative
Online support replied with copy-paste answers that didn’t help.,negative
Concert tickets were $200 each… for a 45-minute set. Robbery.,negative
Hotel’s 'complimentary breakfast' was stale bread and warm juice.,negative
Bought a 'pet-friendly' Airbnb that charged $150 for my cat.,negative
Delivery instructions were ignored. Left my groceries in the rain.,negative
Meal prep service sent the wrong meals for my dietary restrictions.,negative
Car wash scratched my paint. Their response? 'It was already there.',negative
Tech support hung up after 2 hours on hold. Problem still not fixed.,negative
Event advertised 'free parking'—ended up paying $40 at a sketchy lot.,negative
I just realized how much I’ve grown—feels incredible,positive
Life threw some surprises today and they were all good ones,positive
My friend just got amazing news and I’m so happy for them,positive
Had a solo dance party in my room and it was epic,positive
Sometimes things just work out better than you imagined,positive
"My mood today: grateful, grounded, glowing",positive
A stranger smiled at me and it totally lifted my spirit,positive
"Finally took time for myself and wow, I needed that",positive
Everything about today just feels calm and right,positive
Got lost in my art for hours—pure bliss,positive
I love the way the world looks after it rains,positive
My heart is wide open today,positive
Shared a laugh with someone I hadn’t seen in years,positive
Finally felt confident enough to speak up—so empowering,positive
Sometimes a good cry and a cup of tea is all you need,positive
Cooked something new and it turned out delicious,positive
Finished a long run and I feel like a champion,positive
I feel like I’m blooming into who I’m meant to be,positive
Just took a deep breath and felt completely at peace,positive
Had a real talk with someone I care about—it brought us closer,positive
"Made progress today, even if no one else saw it",positive
Watched the stars with no distractions—just peace,positive
I forgot how good it feels to just let go and laugh,positive
Finally let go of something I didn’t need—freedom!,positive
Today reminded me that I’m stronger than I think,positive
Did something kind for someone and it felt amazing,positive
Rediscovered a song that brings back great memories,positive
My energy feels so aligned today,positive
Appreciating the little victories today,positive
I caught myself smiling for no reason,positive
I trusted my gut today and it paid off,positive
That warm fuzzy feeling hit me out of nowhere,positive
I’m proud of myself for showing up,positive
Wrote down 5 things I’m grateful for—feels good,positive
I feel totally recharged after that nature walk,positive
Got an unexpected compliment—what a sweet surprise,positive
I’m loving this chapter of my life,positive
I finally feel like myself again,positive
Everything felt light and easy today,positive
Created something I’m really proud of,positive
This positive mindset thing really works,positive
Reconnected with someone who brings out the best in me,positive
Today made me realize how far I’ve come,positive
"I’m learning to love the journey, not just the destination",positive
Even the air feels sweeter today,positive
Finally felt like I was in the right place at the right time,positive
Woke up smiling and stayed that way all day,positive
Someone remembered a tiny detail about me—it meant so much,positive
I’m overflowing with good energy today,positive
"Today was filled with small, unexpected joys",positive
"Just vibing with life right now, and it feels amazing",positive
Please remember to submit your timesheets by Friday.,neutral
The office will be closed on Monday for maintenance.,neutral
Your prescription is ready for pickup at the pharmacy.,neutral
The train to Boston departs from track 7 at 3:15pm.,neutral
Today's high temperature will be 68 degrees.,neutral
The museum opens at 10am and closes at 5pm.,neutral
Your dental appointment is confirmed for next Tuesday.,neutral
The printer in the hallway is out of toner.,neutral
Parking is available in the lot behind the building.,neutral
The webinar will begin promptly at 11am Eastern.,neutral
Please use the side entrance while construction continues.,neutral
The book you requested is now available at the library.,neutral
Your license plate renewal notice was mailed yesterday.,neutral
The sidewalk on Main Street is currently being repaired.,neutral
Breakfast is served daily from 6:30am to 10:30am.,neutral
The software update will take approximately 20 minutes.,neutral
Your car's oil change is due in approximately 500 miles.,neutral
The conference call dial-in number is 555-123-4567.,neutral
The grocery store is open until 10pm tonight.,neutral
Mail delivery occurs between 1pm and 3pm on weekdays.,neutral
The project deadline has been extended by one week.,neutral
Your hotel reservation is confirmed for three nights.,neutral
The bus arrives at this stop every 25 minutes.,neutral
Your account statement was generated on the 15th.,neutral
The office supply order will be delivered tomorrow.,neutral
Your flight is scheduled to depart at 8:45am.,neutral
The monthly report has been uploaded to the server.,neutral
Trash collection occurs on Tuesdays and Fridays.,neutral
The password must contain at least 8 characters.,neutral
Your dry cleaning will be ready after 5pm today.,neutral
The elevator on the north side is out of service.,neutral
Your appointment reminder has been sent via text.,neutral
The restaurant accepts reservations up to 30 days in advance.,neutral
Your package is currently at the sorting facility.,neutral
The water will be shut off for repairs from 9am to noon.,neutral
Your subscription will automatically renew next month.,neutral
The conference room has been booked for your meeting.,neutral
Your driver's license expires in six months.,neutral
The movie runtime is 1 hour and 52 minutes.,neutral
Your credit card statement date is the 18th of each month.,neutral
The warranty on your device expires in three months.,neutral
Your prescription refill has been authorized.,neutral
The street sweeping schedule begins next Monday.,neutral
Your internet bill is due on the 10th of the month.,neutral
The office holiday party will be held on December 15th.,neutral
